gender,age,height,weight
여,41,1552,49.7
여,64,1611,67.9
여,29,1501,63.9
여,41,1660,63.3
여,20,1629,70.2
여,20,1605,56
여,67,1523,63.6
여,55,1437,50.3
여,63,1480,56.8
여,68,1443,48.2
여,60,1580,61.9
여,16,1611,53.7
여,21,1614,50.1
여,48,1597,63.5
여,20,1686,54.2
여,21,1618,58.7
여,20,1515,46
여,20,1650,59.4
여,44,1606,55.7
여,20,1692,52.4
여,59,1604,80.5
여,59,1497,54
여,55,1483,60.1
여,60,1500,61.9
여,61,1570,60.4
여,27,1685,62.2
여,34,1547,52.3
남,68,1568,65.3
남,59,1607,65.1
남,44,1745,104.9
남,64,1665,52.3
남,56,1580,56.6
남,23,1860,88
남,23,1803,56.5
남,23,1730,77.3
남,20,1606,75.2
남,45,1646,57.3
남,17,1660,71.1
남,17,1720,57.5
남,53,1690,70.5
남,63,1674,69.8
남,62,1640,81.5
남,68,1602,59.2
남,69,1585,63.2
남,60,1636,77.1
남,56,1796,87.4
남,62,1692,78.1
남,44,1627,91.3
남,61,1693,70.8
남,57,1610,74
남,19,1810,77
남,19,1824,76
남,34,1675,76.7
남,36,1700,71.7
남,19,1775,85.9
남,19,1740,61.1
남,49,1691,92.2
남,59,1668,70.8
남,18,1751,74.4
남,61,1674,56.4
남,17,1708,61.8
남,18,1725,53.3
남,46,1715,71.7
남,22,1698,56.1
남,22,1696,63.4
남,20,1821,88.8
남,18,1714,99.8
남,35,1714,67.5
남,55,1695,77.4
남,25,1723,74.3
남,22,1706,51.2
남,21,1780,67.6
남,61,1761,75.7
남,56,1672,58.4
남,16,1775,108.6
남,23,1765,88.1
남,23,1755,73.8
남,36,1727,63.1
남,32,1749,91
남,22,1744,65.3
남,22,1725,80.9
남,21,1835,74.6
남,33,1728,63.8
남,23,1715,61
남,22,1679,56.8
남,69,1670,63.9
남,67,1688,75
남,16,1717,74.3
남,22,1805,69.7
남,24,1664,66.8
남,64,1695,77.8
남,35,1710,75.9
남,41,1698,70.9
남,35,1803,78.1
남,69,1727,90.4
남,41,1777,80.1
남,41,1751,72.5
남,20,1809,71.9
남,16,1712,48
남,47,1681,72.7
남,51,1665,61.8
남,67,1698,73.5
남,17,1789,82.5
남,66,1637,53
남,17,1825,84.5
남,16,1811,65.3
남,37,1718,78.8
남,23,1690,83
남,50,1686,66.2
남,69,1681,65.7
남,43,1776,75.2
남,66,1660,71.6
남,23,1785,79.3
남,33,1819,72.3
남,57,1568,63.1
남,22,1733,63.6
남,22,1780,61
남,69,1675,69.3
남,63,1640,60.9
남,47,1850,83.9
남,43,1680,68.7
남,24,1577,74.8
남,22,1739,72.6
남,23,1823,58.5
남,38,1625,64.9
남,26,1713,66.1
남,32,1684,94.5
남,19,1810,71.3
남,43,1805,63.4
남,34,1716,70.6
남,32,1700,75.2
남,55,1755,88.2
남,23,1733,70.2
남,54,1610,66.3
남,29,1739,80.9
남,43,1640,61.7
남,42,1770,64.8
남,17,1685,66.8
남,17,1728,72.5
여,69,1451,48.7
여,61,1454,40.1
여,67,1523,60.1
여,44,1593,61.2
여,44,1617,57.9
여,20,1611,47.1
여,22,1665,63.9
여,48,1604,70.5
여,66,1515,52.1
여,60,1520,71.3
여,67,1580,62.8
여,57,1403,53.2
여,64,1564,65.5
여,42,1654,57.2
여,65,1537,57.3
여,68,1585,67.4
여,48,1576,57.8
여,62,1510,45.3
여,51,1599,55.9
여,63,1582,57.5
여,53,1594,75.4
여,32,1661,86.6
여,40,1644,49.8
여,45,1546,47.8
여,45,1549,57.6
여,42,1543,55.9
여,16,1640,56.1
여,33,1624,48.1
여,17,1638,49.8
여,24,1573,47.5
여,16,1614,46.3
여,68,1515,72.8
여,65,1495,53.2
여,66,1470,59.4
여,19,1660,78.6
여,17,1595,78.6
여,44,1528,65.7
여,48,1533,51.6
여,22,1690,60.5
여,57,1601,62
여,34,1535,58
여,42,1595,51.4
여,63,1493,57.6
여,39,1628,57.2
여,38,1625,59
여,41,1590,74.8
여,41,1631,69.2
여,42,1603,62
여,44,1626,49
